budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
0,aggregate_tpa_mcp_validity,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
0,dpa_max_target_token_validity,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
0,dpa_weakest_token_stability,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,387.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0294759780008462,1.0,2.0,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0818164289994456,1.0,2.0,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
1,aggregate_tpa_mcp_validity,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
1,dpa_max_target_token_validity,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
1,dpa_weakest_token_stability,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,387.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.2270787140005268,1.0,2.0,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4389547110004059,1.0,2.0,1.0,100.0,1B full H=15 targets=2,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
