budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.037851228000363335,1,2
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.2959861529961927,1,2
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.0951481820084155,1,2
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2093131270084996,1,2
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2916839980025543,1,2
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,3,74,0.961038961038961,gurobi,OPTIMAL,3.0,3.0,0.0,1.3376801099948352,1,2
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,1.4973968240083195,1,2
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,16,61,0.7922077922077922,gurobi,OPTIMAL,16.0,16.0,0.0,1.4529810040112352,1,2
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,21,56,0.7272727272727273,gurobi,OPTIMAL,21.0,21.0,0.0,1.3677682609995827,1,2
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,27,50,0.6493506493506493,gurobi,OPTIMAL,27.0,27.0,0.0,1.7384606650011847,1,2
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,41,36,0.4675324675324675,gurobi,OPTIMAL,41.0,41.0,0.0,1.5063774879963603,1,2
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,66,11,0.14285714285714285,gurobi,OPTIMAL,66.0,66.0,0.0,0.7227996270084986,1,2
