budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.07476915800361894,3,2
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.5631705929990858,3,2
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.846148822005489,3,2
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,2.1169376250036294,3,2
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,2.2402622579975286,3,2
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,2.0475620230135974,3,2
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,2.9309396969911177,3,2
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,3,74,0.961038961038961,gurobi,OPTIMAL,3.0,3.0,0.0,2.8974822829914046,3,2
12,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,4,73,0.948051948051948,gurobi,OPTIMAL,4.0,4.0,0.0,2.954784733999986,3,2
15,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,5,72,0.935064935064935,gurobi,OPTIMAL,5.0,5.0,0.0,3.1313854470063234,3,2
20,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,8,69,0.8961038961038961,gurobi,OPTIMAL,8.0,8.0,0.0,4.996033597999485,3,2
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,3.0181259630044224,3,2
35,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,12,65,0.8441558441558441,gurobi,OPTIMAL,12.0,12.0,0.0,2.4369389159983257,3,2
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,16,61,0.7922077922077922,gurobi,OPTIMAL,16.0,16.0,0.0,2.4632450960052665,3,2
75,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,20,57,0.7402597402597403,gurobi,OPTIMAL,20.0,20.0,0.0,2.4939181770023424,3,2
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,21,56,0.7272727272727273,gurobi,OPTIMAL,21.0,21.0,0.0,2.493442918988876,3,2
125,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,23,54,0.7012987012987013,gurobi,OPTIMAL,23.0,23.0,0.0,2.4661015570018208,3,2
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,27,50,0.6493506493506493,gurobi,OPTIMAL,27.0,27.0,0.0,3.7406232840003213,3,2
175,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,33,44,0.5714285714285714,gurobi,OPTIMAL,33.0,33.0,0.0,3.8037134899932425,3,2
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,41,36,0.4675324675324675,gurobi,OPTIMAL,41.0,41.0,0.0,2.846297305994085,3,2
225,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,52,25,0.3246753246753247,gurobi,OPTIMAL,52.0,52.0,0.0,2.5951643779990263,3,2
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,901,66,11,0.14285714285714285,gurobi,OPTIMAL,66.0,66.0,0.0,1.4748826930008363,3,2
